Service Kind	User	Wallet	Invoice
Non-custodial Consumer Wallet		Aqua	lnbc100u1pj6ljjxsp5mk2e0n7vjcuuc752ljnm4zve23a3c3kdq5qxpz5pane0k5dqzjespp53zxjj3sug24tj6wlwlrlfu8k4676s55kj4cr2lw6mntnhk4mh8tsdpz2djkuepqw3hjqnpdgf2yxgrpv3j8yetnwvxqyp2xqcqz959qxpqysgqp43g45mqyk00cj7580dyz8gaevj6dcg7chmjz3gcmdwkcfv0qm5rt4h62fnvxng6nyweapfs7cc5rafne2mqvkun69lxjrus6gvvawspzs6740
		Bitkit	lnbc1pjmzpxkdqqnp4q06vyl46x4nucdfqn7n5hhtwml7zkxmk7eyngdsaru6psg3ahnvngpp5f73cm0u7mlmj9lfq2294chfmvesmllujwpj8ky2a6pwtfglc2ffssp509ydmgyap92fegqlg9ppy3c9wzdwysha8r8rst78us6v56xqvp4q9qyysgqcqpcxqrrssrzjq2tt9ke59l8c0655mxqh2l7lf5l9gk74em6fr86ckhfcmlwh806unapyqqqqqqqpkuqqqqqqqqqqqeqq2qp3mkyj40htekxg0g04kzjfs3jh6jtywey3wv7azqrlv9a520jy3pay3dy3cpe0ck24wks2kt5vzqqmhqzavhwemtwu3mc0lekjt4xmsqhd4d22
		Blixt	lnbc210n1pjmzp9vpp5zwjs9dtc45d0xw9y2vurumtsmtarla4m8c2w5qq3gjuylpf7a8jqdqqcqzzsxqrrssrzjqgc2t099trn8g9rqcy7axnnrdk3gu540myw0j0dc0mgmqwf2w3nwhapyqqqqqqq95qqqqqqqqqqqztqq9qsp5p6ef24su9a4r70rr8qre2h0t0nujv7h0hkwamursy9d9wehzsdxq9qyyssqufxuraheayqkfdj29r6lracuuu3c56xp4vumw0qscmartnznxn3ytwmu9hwu6fsw28h52q7t0vaxxa73d9657jsy5q345w8m8pe30mqpxtd6w3
		Breez	lnbc50n1pj62uuqpp5p447yvxk5cjflk685kl53eg3xxz4pp5m5356akn486ez0356p3csdqggfex2et6cqzzsxqrrssrzjqvgptfurj3528snx6e3dtwepafxw5fpzdymw9pj20jj09sunnqmwpapyqqqqqqqltqqqqqlgqqqqqqgq9qsp5jwllzl5nk8q7890qwyyprj9hxgey4hwsph7sq66wdd4p7v7t6pgq9qyyssqypk7z3rar8gnfype6mxsc92ccax49huemm2nnphx3qkhm53hflth6k8t577exmuqsxp5fm7evzpw5v5d3g3004ljh37v58t8wrcchagp063dqm
		lipa	lnbc120n1pjcxr98dp923jhxarfdenjqur9dejxjmn8ypcxz7tdv4h8gpp5p0547ufczxajsnzwylyw082p2mz6cwswmr0z0uyhmgpfn06gc7tqxqrrsssp546n87knlt8hedp9cp30rkgtcduw2hrr00ex62msawwzfqszh0k7s9qrsgqcqzysrzjqfj2v2jrqltsrsz2g6v5ee04xga3eg5vsrrxku7xx8dukzvs6m5r2avk07w5uftf4sqqqqlgqqqqqzsqygs6sp6j4mwstpvjd648cmtndazpnfvhnsh9ff8frgrkmx3jarm0vxyqf822a2d9sefxzyqwlm5epvtcyj5rjpu09lsy4jffu7t0a7xxgqpzsw6v
		Mutiny	lnbc5m1pj6tgnhsp5gsfazhx0c5gfcfmxh38ag5lyrshk9h4djzrejldvmfe49vxpyvyqpp59p000w04t5xhc9ch7lj909wtlqmgrcjxymcnnn4gc9xmux7cgnrsdqqnp4qwh05slmksqfkgdyz2wst9fewjmah2amldg3jg2pqzqgvr723mslqxqrrsxcqzzn9qyysgqcd2avdg6gt7j24tjycz0r38xr5r809tczelvyjr52cgy32z7nzs9wsmdxxws4xx8s7s8vv3w5qgfslcg608vj0ys2dqvqg227m75dwcq6z898f
		Phoenix	lnbc1pjmqfldpp5se7k94vu6h3yj5udwpdmkghxfx3cfp34s8a4jfdl45s4cdr7um5scqpjsp5fhc480wd04cyvw5nas66356fycn6czu7zcjv89u9jyrxzhk44ecq9q7sqqqqqqqqqqqqqqqqqqqsqqqqqysgqdqqmqz9gxqyjw5qrzjqwryaup9lh50kkranzgcdnn2fgvx390wgj5jd07rwr3vxeje0glcllcnpf6kl8z6tsqqqqlgqqqqqeqqjqwaugzchfmhjxu2pwednwyj9fr9v3wn05df3aeq53e5vn72q35huyzek7q8phzm56gnjxgnx2vnmt5tynux0egmhr2uw3zc3jq8h92tqqlcw3tt
		Zeus (embedded node)	
			
Custodial Consumer Wallet		Alby	lnbc1431800n1pjcgm4epp5hxr22je783fzcr37d4xp0gn5042pnz48u79lnvj76quu36nv0gmshp5fp66r97zwxcrs33jcc8l6rr3803rp8z3h30pevqevt0fqp203p7scqzzsxqyz5vqsp5jg45hhcmchvagsa8fn05nkyptp99cazgtvgchjcs5j3v7xu53rcq9qyyssq6m74fcnv704y0k2e50sqp6wc7wjhxmrhtjndyzutgzw8rplk8w3yg07wdraur2qh37wj67xkcwrv238s965dfdn90vfj75hm65xyf2sppxh5xw
		Blink	lnbc1pj6cwyxpp5eylecp8ylmhhn8edfk8y0wsx5d3h82dsrchlk5whwnx6wkvh665sdp82pshjgr5dusyymrfde4jq4mpd3kx2apq24ek2uscqzpuxqyz5vqsp549x276m5zdylzsdurlpgaqm5req8t5wsg2pqaagtzlj923kc728s9qyyssqczn6fyss37t0qwc2dm9h72rk599xjfy8mp3ruhjxxd20x6a2kq34ck274yu60c9az97vpyefnawct2qc59tj8274lhxcjxqzspn526qqn8enmp
		Chivo	
		River	
